now	bufferOld	bufferNew
407864	0	2000000
946298	1461566	3461566
1868082	2539782	4539782
4206492	2201372	4201372
5898630	2509234	4509234
7435729	2972135	4972135
9430780	2977084	4977084
12204265	2203599	4203599
14157068	2250796	4250796
15908182	2499682	4499682
17758615	2649249	4649249
19485408	2922456	4922456
21063163	3344701	5344701
22848529	3559335	5559335
24936398	3471466	5471466
28097493	2310371	4310371
30081464	2326400	4326400
32335672	2072192	4072192
33775174	2632690	4632690
35189154	3218710	5218710
37988876	2418988	4418988
39606031	2801833	4801833
41636426	2771438	4771438
43503658	2904206	4904206
46256265	2151599	4151599
47752442	2655422	4655422
49225766	3182098	5182098
51651159	2756705	4756705
53992894	2414970	4414970
56358383	2049481	4049481
58057643	2350221	4350221
60069597	2338267	4338267
61408491	2999373	4999373
64095421	2312443	4312443
65934711	2473153	4473153
67806011	2601853	4601853
70082186	2325678	4325678
71936648	2471216	4471216
73868535	2539329	4539329
75759309	2648555	4648555
77987056	2420808	4420808
80352350	2055514	4055514
81818944	2588920	4588920
84122468	2285396	4285396
85601804	2806060	4806060
87497090	2910774	4910774
89653434	2754430	4754430
91724708	2683156	4683156
93188235	3219629	5219629
95322279	3085585	5085585
96670341	3737523	5737523
